Id;latitude;longitude;bright_ti4;scan;track;acq_date;acq_time;satellite;instrument;confidence;version;bright_ti5;frp;daynight;type;Zona;Trimestre;Año
 ;5,561498;-72,371368;343,19;0,66;0,73;26/01/2012;1719;N;VIIRS;n;1;289,29;13,02;D;0;Boyacá;1;2012
 ;5,562087;-72,375984;331,33;0,66;0,73;26/01/2012;1719;N;VIIRS;n;1;289,1;8,44;D;0;Boyacá;1;2012
 ;5,563037;-72,370819;338,66;0,66;0,73;26/01/2012;1719;N;VIIRS;n;1;288,6;8,44;D;0;Boyacá;1;2012
 ;5,563734;-72,74791;338,41;0,44;0,46;23/02/2012;1834;N;VIIRS;n;1;305,69;6,44;D;0;Boyacá;1;2012
 ;5,567959;-72,748772;348,6;0,44;0,46;23/02/2012;1834;N;VIIRS;n;1;304,61;6,44;D;0;Boyacá;1;2012
 ;5,570207;-72,490189;340,44;0,38;0,36;03/02/2012;1809;N;VIIRS;n;1;288,22;3,48;D;0;Boyacá;1;2012
 ;5,580495;-72,459282;353,21;0,39;0,44;20/02/2012;1751;N;VIIRS;n;1;301,26;16,79;D;0;Boyacá;1;2012
 ;5,585587;-72,368835;336,92;0,56;0,43;18/02/2012;1828;N;VIIRS;n;1;296,6;11,57;D;0;Boyacá;1;2012
 ;5,587798;-72,352592;337,03;0,56;0,43;05/03/2012;1828;N;VIIRS;n;1;297,09;8,04;D;0;Boyacá;1;2012
 ;5,605479;-72,564117;333,79;0,37;0,58;01/02/2012;1847;N;VIIRS;n;1;289,38;2,31;D;0;Boyacá;1;2012
 ;5,611688;-72,718758;332,81;0,54;0,68;16/02/2012;1725;N;VIIRS;n;1;288,1;4,03;D;0;Boyacá;1;2012
 ;5,620875;-72,32386;334,06;0,4;0,37;24/02/2012;1816;N;VIIRS;n;1;296,7;8,44;D;0;Boyacá;1;2012
 ;5,622966;-72,390297;338,23;0,46;0,39;16/03/2012;1822;N;VIIRS;n;1;297,83;6,35;D;0;Boyacá;1;2012
 ;5,630575;-72,737129;341,09;0,42;0,61;21/02/2012;1732;N;VIIRS;n;1;293,07;4,48;D;0;Boyacá;1;2012
 ;5,631087;-72,73423;342,29;0,42;0,61;21/02/2012;1732;N;VIIRS;n;1;293,42;4,48;D;0;Boyacá;1;2012
 ;5,633121;-72,737007;341,36;0,42;0,61;21/02/2012;1732;N;VIIRS;n;1;296,25;5,25;D;0;Boyacá;1;2012
 ;5,633626;-72,734016;335,59;0,42;0,61;21/02/2012;1732;N;VIIRS;n;1;294,17;5,25;D;0;Boyacá;1;2012
 ;5,634645;-72,323921;333,87;0,46;0,39;28/01/2012;1822;N;VIIRS;n;1;294,92;4,33;D;0;Boyacá;1;2012
 ;5,6353;-72,319527;330,26;0,46;0,39;28/01/2012;1822;N;VIIRS;n;1;292,53;2,91;D;0;Boyacá;1;2012
 ;5,644858;-72,294899;333,34;0,57;0,43;05/03/2012;1828;N;VIIRS;n;1;294,15;3,49;D;0;Boyacá;1;2012
 ;5,646156;-73,609047;330,12;0,41;0,37;13/02/2012;1822;N;VIIRS;n;1;299,84;3,43;D;0;Boyacá;1;2012
 ;5,647491;-72,293037;331,7;0,57;0,43;05/03/2012;1828;N;VIIRS;n;1;294,13;4,78;D;0;Boyacá;1;2012
 ;5,653535;-72,747688;330,74;0,44;0,46;23/02/2012;1834;N;VIIRS;n;1;295,88;5,14;D;0;Boyacá;1;2012
 ;5,669106;-72,476112;339,66;0,45;0,47;22/01/2012;1834;N;VIIRS;n;1;295,65;8,36;D;0;Boyacá;1;2012
 ;5,670959;-74,02932;333,23;0,4;0,37;13/02/2012;1822;N;VIIRS;n;1;296,41;3,11;D;0;Boyacá;1;2012
 ;5,671844;-72,949142;336,38;0,58;0,69;11/02/2012;1900;N;VIIRS;n;1;295,42;8,12;D;0;Boyacá;1;2012
 ;5,671867;-72,945938;337,29;0,58;0,69;11/02/2012;1900;N;VIIRS;n;1;295,05;6,32;D;0;Boyacá;1;2012
 ;5,673386;-72,477051;330,51;0,45;0,47;22/01/2012;1834;N;VIIRS;n;1;296,99;4,76;D;0;Boyacá;1;2012
 ;5,673892;-72,473541;338,19;0,45;0,47;22/01/2012;1834;N;VIIRS;n;1;293,89;4,76;D;0;Boyacá;1;2012
 ;5,67533;-73,292625;334,76;0,41;0,45;23/02/2012;1835;N;VIIRS;n;1;301,13;4,17;D;0;Boyacá;1;2012
 ;5,676965;-74,012138;330,99;0,4;0,37;13/02/2012;1822;N;VIIRS;n;1;297,52;1,13;D;0;Boyacá;1;2012
 ;5,679418;-73,293419;341,64;0,41;0,45;23/02/2012;1835;N;VIIRS;n;1;297,38;4,17;D;0;Boyacá;1;2012
 ;5,681056;-72,471611;344,66;0,49;0,65;22/02/2012;1853;N;VIIRS;n;1;298,22;11,84;D;0;Boyacá;1;2012
 ;5,692321;-72,314957;339,07;0,46;0,39;28/01/2012;1822;N;VIIRS;n;1;295,72;9,82;D;0;Boyacá;1;2012
