Año,Trimestre,Mes,Día,acq_time,Año,bright_ti4,bright_ti5,confidence,daynight,frp,Id,instrument,Promedio de latitude,Promedio de longitude,satellite,scan,track,Trimestre,type,version,Zona
2012,Trim. 1,febrero,16,4354,14084,2170.59,2015.38,n,N,9.48,"",VIIRS,5.855810857142858,-73.38009628571429,N,2.7099999999999995,2.5399999999999996,7,7,7,Boyacá
2012,Trim. 1,febrero,17,3694,4024,734,588,h,D,20.74,"",VIIRS,6.350182500000001,-72.305557,N,0.8,1.2,2,0,2,Boyacá
2012,Trim. 1,febrero,17,1847,2012,367,287,l,D,5.57,"",VIIRS,6.964214,-71.971298,N,0.43,0.62,1,0,1,Boyacá
2012,Trim. 1,febrero,17,24011,26156,4394.28,3822.04,n,D,76.16,"",VIIRS,5.995965153846155,-73.48726246153845,N,6.299999999999999,7.1499999999999995,13,0,13,Boyacá
2012,Trim. 1,febrero,17,1206,4024,614.92,585.4,n,N,3.31,"",VIIRS,6.218073,-74.573849,N,0.88,0.92,2,4,2,Boyacá
2012,Trim. 1,febrero,18,27420,30180,5064.06,4473.73,n,D,333.07,"",VIIRS,5.620359,-73.17657913333333,N,7.59,6.12,15,0,15,Boyacá
2012,Trim. 1,febrero,19,1809,2012,338.83,296.14,l,D,5.14,"",VIIRS,5.970421,-74.171593,N,0.41,0.37,1,0,1,Boyacá
2012,Trim. 1,febrero,19,9047,10060,1695.85,1492.16,n,D,31.86,"",VIIRS,6.1702742,-72.8058808,N,1.94,1.8099999999999996,5,0,5,Boyacá
2012,Trim. 1,febrero,20,26262,30180,5096.26,4476.68,n,D,135.86,"",VIIRS,5.749049533333334,-72.64500366666667,N,7.500000000000002,6.619999999999998,15,0,15,Boyacá
2012,Trim. 1,febrero,20,3235,10060,1503.54,1401.18,n,N,6.26,"",VIIRS,5.5831122,-73.45003799999999,N,2.48,2.45,5,6,5,Boyacá
2012,Trim. 1,febrero,21,12124,14084,2569,2083.61,h,D,116.91,"",VIIRS,5.6563475714285705,-72.90432642857142,N,3.04,4.33,7,0,7,Boyacá
2012,Trim. 1,febrero,21,27712,32192,5484.51,4747.75,n,D,122.78,"",VIIRS,5.818980375,-72.71026225,N,6.700000000000001,9.74,16,0,16,Boyacá
2012,Trim. 1,febrero,22,1853,2012,367,290.15,h,D,32.28,"",VIIRS,5.790698,-72.491943,N,0.49,0.65,1,0,1,Boyacá
2012,Trim. 1,febrero,22,1853,2012,367,286.75,l,D,32.28,"",VIIRS,5.796511,-72.494308,N,0.49,0.65,1,0,1,Boyacá
2012,Trim. 1,febrero,22,14825,16096,2738.69,2355.16,n,D,93.17,"",VIIRS,5.827675874999999,-73.49834175,N,3.3600000000000003,4.890000000000001,8,0,8,Boyacá
2012,Trim. 1,febrero,22,7919,26156,3953.64,3687.55,n,N,13.81,"",VIIRS,5.400401307692309,-73.03268846153846,N,5.65,4.95,13,16,13,Boyacá
2012,Trim. 1,febrero,23,53202,58348,9846.75,8718.03,n,D,178.27,"",VIIRS,5.629497206896552,-73.15945772413794,N,13.420000000000005,13.11,29,0,29,Boyacá
2012,Trim. 1,febrero,23,2202,8048,1197.11,1128.89,n,N,5.72,"",VIIRS,5.616436500000001,-72.9389915,N,2.17,2.04,4,8,4,Boyacá
2012,Trim. 1,febrero,24,21788,24144,4063.4,3587.06,n,D,85.45,"",VIIRS,5.491858083333334,-73.22586125,N,4.69,4.349999999999999,12,2,12,Boyacá
2012,Trim. 1,febrero,25,1757,2012,333.14,293.43,n,D,3.86,"",VIIRS,6.092361,-73.571953,N,0.54,0.42,1,0,1,Boyacá
2012,Trim. 1,febrero,26,3476,4024,734,596.94,h,D,23.81,"",VIIRS,5.7387735,-72.98119349999999,N,0.68,1.12,2,0,2,Boyacá
2012,Trim. 1,febrero,26,3476,4024,665.24,579.15,n,D,8.59,"",VIIRS,5.5870955,-73.4328345,N,0.74,1.1600000000000001,2,0,2,Boyacá
2012,Trim. 1,febrero,26,1268,4024,613.13,576.71,n,N,2.78,"",VIIRS,5.4651065,-72.43364700000001,N,1.09,0.84,2,2,2,Boyacá
2012,Trim. 1,febrero,27,5338,6036,1101,885.04,h,D,123.87,"",VIIRS,5.658855666666667,-72.53002166666666,N,1.92,2.17,3,0,3,Boyacá
2012,Trim. 1,febrero,27,1719,2012,367,287.43,l,D,24.3,"",VIIRS,5.697851,-72.257095,N,0.64,0.72,1,0,1,Boyacá
2012,Trim. 1,febrero,27,23614,26156,4441.32,3840.82,n,D,370.48,"",VIIRS,5.786047307692308,-72.72149646153846,N,7.97,9.23,13,0,13,Boyacá
2012,Trim. 1,febrero,27,10472,34204,5172.77,4807.22,n,N,16.7,"",VIIRS,5.5822946470588235,-73.13360229411764,N,6.689999999999999,6.210000000000003,17,30,17,Boyacá
2012,Trim. 1,febrero,28,11046,12072,2046.52,1759.66,n,D,68.78,"",VIIRS,6.045285333333333,-72.48968133333334,N,3.5900000000000003,3.1800000000000006,6,0,6,Boyacá
2012,Trim. 1,febrero,28,7798,28168,4398.73,4025.04,n,N,22.87,"",VIIRS,4.969897071428571,-72.8987442142857,N,5.809999999999999,6.290000000000003,14,2,14,Boyacá
2012,Trim. 1,febrero,29,5466,6036,1017.39,896.28,n,D,17.48,"",VIIRS,5.180579666666667,-72.84483833333333,N,1.31,1.1400000000000001,3,0,3,Boyacá
2012,Trim. 1,marzo,1,7212,8048,1337.34,1205.73,l,D,48.96,"",VIIRS,5.340115,-73.03822124999999,N,1.72,1.52,4,0,4,Boyacá
2012,Trim. 1,marzo,1,1803,2012,338.61,304.05,n,D,7.6,"",VIIRS,5.487311,-72.471367,N,0.41,0.37,1,0,1,Boyacá
2012,Trim. 1,marzo,2,10464,12072,2029.67,1724.29,n,D,36.67,"",VIIRS,5.761497833333333,-73.2993965,N,3.05,3.08,6,0,6,Boyacá
2012,Trim. 1,marzo,4,1847,2012,367,293.66,h,D,16.78,"",VIIRS,5.674335,-72.263794,N,0.39,0.6,1,0,1,Boyacá
2012,Trim. 1,marzo,4,18470,20120,3376.9,2896.54,n,D,89.19,"",VIIRS,5.9047555,-73.99569340000001,N,5.009999999999999,5.33,10,0,10,Boyacá
2012,Trim. 1,marzo,5,14624,16096,2701.07,2370.54,n,D,55.74,"",VIIRS,5.626843249999999,-72.696700125,N,4.32,3.3699999999999997,8,0,8,Boyacá
2012,Trim. 1,marzo,5,1088,4024,603.5,552.26,n,N,2.51,"",VIIRS,5.774782999999999,-72.876591,N,0.68,1.12,2,4,2,Boyacá
2012,Trim. 1,marzo,6,5430,6036,1007.01,919.31,n,D,14.96,"",VIIRS,6.270301333333333,-72.98841566666668,N,1.1600000000000001,1.0899999999999999,3,0,3,Boyacá
2012,Trim. 1,marzo,6,525,2012,296.86,281.38,n,N,0.93,"",VIIRS,5.800962,-72.228043,N,0.65,0.73,1,0,1,Boyacá
2012,Trim. 1,marzo,7,7002,8048,1369.5,1183.41,n,D,27.92,"",VIIRS,5.24464775,-73.28420824999999,N,1.78,1.85,4,0,4,Boyacá
2012,Trim. 1,marzo,7,4529,14084,2113.38,1957.37,n,N,9.63,"",VIIRS,5.458230285714286,-73.28466571428571,N,3.62,3.4700000000000006,7,8,7,Boyacá
2012,Trim. 1,marzo,8,3464,4024,688.9,574.7,n,D,13.8,"",VIIRS,4.6686315,-73.0960045,N,0.92,1.26,2,0,2,Boyacá
2012,Trim. 1,marzo,8,5652,18108,2746.95,2560.98,n,N,10.16,"",VIIRS,5.518602333333334,-73.31200911111111,N,3.7900000000000005,3.3800000000000003,9,15,9,Boyacá
2012,Trim. 1,marzo,12,653,2012,304.79,289,n,N,2.04,"",VIIRS,6.221018,-74.574699,N,0.52,0.5,1,2,1,Boyacá
2012,Trim. 1,marzo,14,616,2012,311.2,280.48,n,N,2.03,"",VIIRS,5.467461,-73.556953,N,0.4,0.37,1,2,1,Boyacá
2012,Trim. 1,marzo,15,12887,14084,2365.53,2055.8,n,D,72.72,"",VIIRS,5.848552285714286,-73.9244962857143,N,3.3699999999999997,3.3499999999999996,7,3,7,Boyacá
2012,Trim. 1,marzo,15,557,2012,300.53,281.97,n,N,1.3,"",VIIRS,5.748106,-72.909546,N,0.42,0.45,1,2,1,Boyacá
2012,Trim. 1,marzo,16,5466,6036,1009.25,887.11,n,D,12.92,"",VIIRS,5.0107653333333335,-72.84159866666667,N,1.3,1.15,3,0,3,Boyacá
2012,Trim. 1,marzo,16,538,2012,299.38,278.33,n,N,2.38,"",VIIRS,5.318793,-73.704948,N,0.49,0.65,1,2,1,Boyacá
2012,Trim. 1,marzo,17,1803,2012,335.05,304.11,n,D,10.63,"",VIIRS,6.110277,-72.676918,N,0.41,0.37,1,0,1,Boyacá
2012,Trim. 1,marzo,27,1816,2012,333.3,299.37,n,D,3.84,"",VIIRS,6.112611,-73.541924,N,0.39,0.36,1,0,1,Boyacá
2012,Trim. 1,marzo,29,6952,8048,1360.76,1178.08,n,D,75.61,"",VIIRS,5.879226750000001,-73.95725275000001,N,1.56,2.36,4,0,4,Boyacá
2012,Trim. 1,marzo,29,635,2012,296.14,278.63,n,N,1.06,"",VIIRS,5.40497,-73.676529,N,0.47,0.4,1,2,1,Boyacá
2012,Trim. 1,marzo,31,3682,4024,688.94,589.24,n,D,13.48,"",VIIRS,5.666178,-74.237198,N,0.91,0.94,2,0,2,Boyacá
2012,Trim. 2,abril,1,12754,14084,2341.8,2072.45,n,D,44.8,"",VIIRS,5.805292428571428,-74.5525642857143,N,2.7500000000000004,2.5399999999999996,14,6,7,Boyacá
2012,Trim. 2,abril,2,1803,2012,343.92,297,n,D,6.64,"",VIIRS,6.039854,-74.414452,N,0.48,0.4,2,0,1,Boyacá
2012,Trim. 2,abril,5,1206,4024,610.77,541.5,n,N,3.98,"",VIIRS,5.7495840000000005,-73.05104449999999,N,1.03,0.83,4,2,2,Boyacá
2012,Trim. 2,abril,10,3706,4024,661.24,572.31,n,D,5.75,"",VIIRS,5.837847,-74.535553,N,0.71,1.15,4,0,2,Boyacá
2012,Trim. 2,abril,10,609,2012,295.52,279.9,n,N,0.58,"",VIIRS,5.80541,-72.871056,N,0.43,0.38,2,2,1,Boyacá
2012,Trim. 2,abril,11,1835,2012,355.06,298.68,n,D,41.82,"",VIIRS,6.147368,-73.468079,N,0.41,0.45,2,0,1,Boyacá
2012,Trim. 2,abril,20,1725,2012,326.93,287.02,n,D,4.37,"",VIIRS,6.101658,-73.55822,N,0.59,0.7,2,0,1,Boyacá
2012,Trim. 2,abril,23,1809,2012,333.17,291.13,n,D,2.92,"",VIIRS,6.120971,-74.471504,N,0.42,0.37,2,0,1,Boyacá
2012,Trim. 2,abril,23,706,2012,300.07,277.16,n,N,1.6,"",VIIRS,5.322369,-73.702873,N,0.52,0.66,2,2,1,Boyacá
2012,Trim. 2,abril,25,628,2012,308.81,284.43,n,N,1,"",VIIRS,5.443274,-72.451927,N,0.45,0.39,2,2,1,Boyacá
2012,Trim. 2,abril,26,6090,20120,3027.58,2784,n,N,12.83,"",VIIRS,5.5782449,-73.10875620000002,N,4.36,3.8200000000000003,20,18,10,Boyacá
2012,Trim. 2,abril,27,3300,12072,1871.2,1628.63,n,N,17.08,"",VIIRS,5.7757396666666665,-72.87834149999999,N,3.1800000000000006,3,12,12,6,Boyacá
2012,Trim. 2,abril,30,634,2012,303.08,255.82,n,N,1.95,"",VIIRS,5.777882,-72.881874,N,0.51,0.41,2,2,1,Boyacá
2012,Trim. 2,mayo,2,1114,4024,597.93,560.75,n,N,2.95,"",VIIRS,5.7744040000000005,-72.8776395,N,0.84,0.9,4,4,2,Boyacá
2012,Trim. 2,mayo,6,6842,22132,3345.86,3053.65,n,N,10.79,"",VIIRS,5.4547964545454555,-73.57500381818183,N,4.18,3.959999999999999,22,22,11,Boyacá
2012,Trim. 2,mayo,11,5652,18108,2703.7,2483.72,n,N,6.91,"",VIIRS,5.481407666666666,-73.52406566666667,N,3.7100000000000004,3.3400000000000007,18,18,9,Boyacá
2012,Trim. 2,mayo,15,7024,8048,1335.94,1198.6,n,D,21.57,"",VIIRS,5.732001500000001,-72.75492475000001,N,1.94,1.62,8,4,4,Boyacá
2012,Trim. 2,mayo,15,2612,8048,1200.76,1111.83,n,N,6.85,"",VIIRS,5.477811249999999,-73.48468399999999,N,2.21,2.19,8,8,4,Boyacá
2012,Trim. 2,mayo,16,1902,6036,896.26,838.77,n,N,3.8,"",VIIRS,5.571412333333334,-73.33107233333332,N,1.47,1.21,6,6,3,Boyacá
2012,Trim. 2,mayo,17,3075,10060,1495.03,1377.71,n,N,4.6,"",VIIRS,5.593831400000001,-73.2741486,N,1.9800000000000004,1.8299999999999996,10,10,5,Boyacá
2012,Trim. 2,mayo,22,10557,34204,5181.29,4681.22,n,N,19.39,"",VIIRS,5.549310823529412,-73.3185025882353,N,6.529999999999999,6.120000000000001,34,26,17,Boyacá
2012,Trim. 2,mayo,23,7388,8048,1335.7,1165.15,n,D,19.78,"",VIIRS,5.807621749999999,-73.88506325,N,2.13,2.14,8,0,4,Boyacá
2012,Trim. 2,mayo,25,1809,2012,335.13,294.38,n,D,4.35,"",VIIRS,5.487473,-73.567978,N,0.4,0.37,2,0,1,Boyacá
2012,Trim. 2,mayo,28,3706,4024,668.52,570.91,n,D,5.28,"",VIIRS,6.083877,-74.526253,N,0.72,1.14,4,0,2,Boyacá
2012,Trim. 2,mayo,28,6090,20120,3011.44,2806.7,n,N,10.76,"",VIIRS,5.7064240999999996,-73.0650413,N,4.36,3.8299999999999996,20,18,10,Boyacá
